Measure Mode: wall_time
Thread ID: 70133884385220
Fiber ID: 70133884218140
Total: 20.115956
Sort by: self_time

 %self      total      self      wait     child     calls  name
 99.98     20.112    20.112     0.000     0.000        2   Readline#readline
  0.01      0.002     0.001     0.000     0.001        1   Date#inspect
  0.00      0.001     0.001     0.000     0.000        1   Date#to_s
  0.00      0.000     0.000     0.000     0.000      141   Kernel#hash
  0.00      0.000     0.000     0.000     0.000        1   <Class::Date>#parse
  0.00      0.000     0.000     0.000     0.000        4   Kernel#eval
  0.00      0.000     0.000     0.000     0.000       15   Array#&
  0.00     20.113     0.000     0.000    20.112       68   RubyLex#getc
  0.00     20.113     0.000     0.000    20.113       25  *IRB::SLex::Node#match_io
  0.00      0.000     0.000     0.000     0.000        7   String#gsub!
  0.00      0.000     0.000     0.000     0.000        5   RubyLex#identify_identifier
  0.00      0.000     0.000     0.000     0.000        1   RubyLex#identify_string
  0.00     20.113     0.000     0.000    20.113       15   RubyLex#token
  0.00     20.116     0.000     0.000    20.116        1   RubyLex#each_top_level_statement
  0.00      0.000     0.000     0.000     0.000        2   IO#write
  0.00      0.000     0.000     0.000     0.000       17  *RubyToken#Token
  0.00      0.000     0.000     0.000     0.000       20   RubyLex#ungetc
  0.00      0.000     0.000     0.000     0.000       62   Module#===
  0.00      0.000     0.000     0.000     0.000        8   IRB::Context#verbose?
  0.00     20.115     0.000     0.000    20.115        4   IRB::Irb#signal_status
  0.00     20.113     0.000     0.000    20.113       15   IRB::SLex#match
  0.00      0.000     0.000     0.000     0.000        6   RubyLex#prompt
  0.00      0.000     0.000     0.000     0.000       10   RubyLex#getc_of_rests
  0.00      0.000     0.000     0.000     0.000       80   Kernel#kind_of?
  0.00     20.112     0.000     0.000    20.112        2   IRB::ReadlineInputMethod#gets
  0.00      0.000     0.000     0.000     0.000        6   Kernel#initialize_dup
  0.00      0.000     0.000     0.000     0.000       15   RubyToken::Token#initialize
  0.00      0.000     0.000     0.000     0.000       69   Array#push
  0.00      0.000     0.000     0.000     0.000       15   Class#new
  0.00      0.000     0.000     0.000     0.000        4   IRB::WorkSpace#evaluate
  0.00      0.000     0.000     0.000     0.000       10   Hash#values
  0.00     20.113     0.000     0.000    20.113        2   RubyLex#lex
  0.00      0.000     0.000     0.000     0.000        2   <Module::Readline>#input=
  0.00      0.000     0.000     0.000     0.000       15   Module#ancestors
  0.00      0.000     0.000     0.000     0.000       68   Array#shift
  0.00      0.000     0.000     0.000     0.000       38   Kernel#nil?
  0.00      0.000     0.000     0.000     0.000       15   Regexp#===
  0.00      0.000     0.000     0.000     0.000        8   Integer#to_s
  0.00      0.000     0.000     0.000     0.000        1   MatchData#begin
  0.00      0.000     0.000     0.000     0.000       29   String#concat
  0.00      0.000     0.000     0.000     0.000       42   <Class::RubyLex>#debug?
  0.00      0.000     0.000     0.000     0.000        2   IRB::Context#set_last_value
  0.00      0.000     0.000     0.000     0.000        2   String#chars
  0.00      0.000     0.000     0.000     0.000        6   IRB::Context#prompting?
  0.00      0.000     0.000     0.000     0.000        6   IO#tty?
  0.00      0.000     0.000     0.000     0.000        6   Kernel#dup
  0.00      0.000     0.000     0.000     0.000        2   Kernel#printf
  0.00      0.000     0.000     0.000     0.000        6   Kernel#format
  0.00      0.000     0.000     0.000     0.000       15   Comparable#>=
  0.00      0.000     0.000     0.000     0.000        2   <Object::Object>#push
  0.00      0.000     0.000     0.000     0.000       15   IRB::Notifier::LeveledNotifier#<=>
  0.00     20.112     0.000     0.000    20.112        2   RubyLex#buf_input
  0.00      0.000     0.000     0.000     0.000        1   Module#to_s
  0.00      0.000     0.000     0.000     0.000       15   IRB::Notifier::AbstractNotifier#printf
  0.00      0.002     0.000     0.000     0.002        2   IRB::Inspector#inspect_value
  0.00      0.000     0.000     0.000     0.000       20   Array#unshift
  0.00      0.000     0.000     0.000     0.000        6   IRB::Irb#prompt
  0.00      0.000     0.000     0.000     0.000       21   Array#pop
  0.00      0.000     0.000     0.000     0.000        5   RubyToken::TkId#initialize
  0.00      0.000     0.000     0.000     0.000       25   NilClass#nil?
  0.00      0.000     0.000     0.000     0.000       15   IRB::Notifier::LeveledNotifier#notify?
  0.00      0.000     0.000     0.000     0.000       17   RubyLex#peek
  0.00      0.000     0.000     0.000     0.000        2   <Module::Readline>#output=
  0.00      0.000     0.000     0.000     0.000       10   Array#include?
  0.00      0.000     0.000     0.000     0.000        2   Array#join
  0.00      0.000     0.000     0.000     0.000        2   RubyLex#get_readed
  0.00      0.000     0.000     0.000     0.000       15   String#==
  0.00      0.000     0.000     0.000     0.000        8   String#[]
  0.00      0.000     0.000     0.000     0.000        2   Regexp#match
  0.00      0.000     0.000     0.000     0.000       15   Integer#<=>
  0.00      0.000     0.000     0.000     0.000        2   IRB::Context#evaluate
  0.00      0.000     0.000     0.000     0.000        4   Array#rindex
  0.00      0.000     0.000     0.000     0.000        2   <Module::IRB>#CurrentContext
  0.00      0.000     0.000     0.000     0.000        1   Kernel#inspect
  0.00      0.000     0.000     0.000     0.000        6   <Object::Object>#to_s
  0.00      0.000     0.000     0.000     0.000        2   Array#concat
  0.00      0.000     0.000     0.000     0.000        6   IRB::Context#main
  0.00      0.000     0.000     0.000     0.000        1   IRB::Irb#eval_input
  0.00      0.000     0.000     0.000     0.000        8   Symbol#===
  0.00      0.002     0.000     0.000     0.002        2   IRB::Irb#output_value
  0.00      0.002     0.000     0.000     0.002        2   IRB::Context#inspect_last_value
  0.00      0.000     0.000     0.000     0.000        2   Array#to_a
  0.00      0.000     0.000     0.000     0.000        1   String#[]=
  0.00      0.000     0.000     0.000     0.000        2   <Module::IRB>#conf
  0.00      0.000     0.000     0.000     0.000        2   IRB::ReadlineInputMethod#encoding
  0.00      0.000     0.000     0.000     0.000        2   Hash#[]
  0.00      0.000     0.000     0.000     0.000        1   Integer#div
  0.00      0.000     0.000     0.000     0.000        2   String#force_encoding
  0.00      0.000     0.000     0.000     0.000        2   IO#external_encoding
  0.00      0.000     0.000     0.000     0.000        1   RubyToken::TkVal#initialize
  0.00      0.000     0.000     0.000     0.000        1   MatchData#end
  0.00      0.000     0.000     0.000     0.000        6   String#initialize_copy
  0.00      0.000     0.000     0.000     0.000        2   Kernel#untaint

* indicates recursively called methods
